"sourceObjects_Organization.id","sourceObjects_Organization.name","sourceObjects_Location.name","originalCurrency","amountUSD"
"","","","",780683917
"","","","EUR",780683917
"","","","ISK",780683917
"","","Yemen","",780683917
"","","","CHF",780683917
"","","","SEK",780683917
"","","Syrian Arab Republic","",780683917
"","","","USD",780683917
"","","","KWD",780683917
"","","","CAD",780683917
"","","India","EUR",780683917
"","","","GBP",780683917
"","","","DKK",780683917
"","","Benin","KWD",780683917
"","","Burkina Faso","KWD",780683917
"","","Comoros","KWD",780683917
"","","Guinea","KWD",780683917
"","","Ethiopia","KWD",780683917
"","","Gambia","KWD",780683917
"","","Ghana","KWD",780683917
"","","Guinea-Bissau","KWD",780683917
"","","Kenya","KWD",780683917
"","","Madagascar","KWD",780683917
"","","Mali","KWD",780683917
"","","Mauritania","KWD",780683917
"","","Mozambique","KWD",780683917
"","","Niger","KWD",780683917
"","","Rwanda","KWD",780683917
"","","Senegal","KWD",780683917
"","","Sierra Leone","KWD",780683917
"","","Somalia","KWD",780683917
"","","Sudan","KWD",780683917
"","","Tanzania, United Republic of","KWD",780683917
"","","Chad","KWD",780683917
"","","Togo","KWD",780683917
"","","Tunisia","KWD",780683917
"","","Uganda","KWD",780683917
"","","Yemen","KWD",780683917
"","","Zambia","KWD",780683917
"","","Zimbabwe","KWD",780683917
"","","Iraq","EUR",780683917
"","","South Sudan","",780683917
"","","South Sudan","SSP",780683917
"","","Colombia","",780683917
"","","","NOK",780683917
"","","Jersey","GBP",780683917
"","","Pakistan","",780683917
"","","South Sudan","GBP",780683917
"","","Sudan","EUR",780683917
"","","Congo, The Democratic Republic of the","EUR",780683917
"","","","COP",780683917
"","","Austria","",780683917
"","","Nigeria","CAD",780683917
"","","Iraq","",780683917
"","","Cameroon","",780683917
"","","Saudi Arabia","",780683917
"","","Colombia","EUR",780683917
"","","","AUD",780683917
"4543","Private (individuals & organizations)","","GBP",380323648
"4543","Private (individuals & organizations)","","ZAR",380323648
"4543","Private (individuals & organizations)","","EUR",380323648
"4543","Private (individuals & organizations)","","CAD",380323648
"4543","Private (individuals & organizations)","","",380323648
"4543","Private (individuals & organizations)","","DKK",380323648
"4543","Private (individuals & organizations)","China","",380323648
"4543","Private (individuals & organizations)","Dominican Republic","",380323648
"4543","Private (individuals & organizations)","India","",380323648
"4543","Private (individuals & organizations)","Serbia","",380323648
"4543","Private (individuals & organizations)","Thailand","",380323648
"4543","Private (individuals & organizations)","Ukraine","",380323648
"4543","Private (individuals & organizations)","Belarus","USD",380323648
"4543","Private (individuals & organizations)","Argentina","USD",380323648
"4543","Private (individuals & organizations)","Ukraine","USD",380323648
"4543","Private (individuals & organizations)","Sri Lanka","USD",380323648
"4543","Private (individuals & organizations)","United Arab Emirates","",380323648
"4543","Private (individuals & organizations)","Thailand","USD",380323648
"4543","Private (individuals & organizations)","","USD",380323648
"4543","Private (individuals & organizations)","Armenia","",380323648
"4543","Private (individuals & organizations)","Egypt","",380323648
"4543","Private (individuals & organizations)","Argentina","",380323648
"4543","Private (individuals & organizations)","","KWD",380323648
"4543","Private (individuals & organizations)","","HKD",380323648
"4543","Private (individuals & organizations)","","THB",380323648
"4543","Private (individuals & organizations)","","CHF",380323648
"4543","Private (individuals & organizations)","","PHP",380323648
"4543","Private (individuals & organizations)","Chile","",380323648
"4543","Private (individuals & organizations)","Malaysia","",380323648
"4543","Private (individuals & organizations)","Philippines","",380323648
"4543","Private (individuals & organizations)","Uruguay","",380323648
"4543","Private (individuals & organizations)","Qatar","",380323648
"4543","Private (individuals & organizations)","","BRL",380323648
"4543","Private (individuals & organizations)","Indonesia","",380323648
"4543","Private (individuals & organizations)","Kazakhstan","",380323648
"4543","Private (individuals & organizations)","Colombia","",380323648
"4543","Private (individuals & organizations)","Mexico","",380323648
