name,ISO3,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,0.673371858,0.673371858,0.673371858,0.64590975,0.725169599,0.777115249,0.828230799,0.902857409,1.046160312,1.016617452,1.190729804,1.305446619,1.299307979,1.221987083,1.2173275,1.181175254,1.028875951,1.053369084,1.012971346,1,1.066907574,1.069091012,1.08761055,1.080490164,1.073958768,1.084355325,1.071305798
Albania,ALB,0.343281591,0.371999845,0.372382446,0.372020532,0.36016497,0.373473662,0.391167053,0.391120716,0.391108968,0.391258206,0.347440916,0.289621005,0.197369257,0.312098436,0.461020292,0.516761501,0.525922078,0.416799269,0.434016304,0.481921693,0.489097776,0.509346478,0.539338386,0.659538636,0.800410067,0.850021791,0.886773701,1.004225082,1.126997461,1.019569452,0.974390836,1.026785082,0.9672977,0.993448261,1.011408033,0.850737571,0.857639075,0.909182896,1.013766222,1,1.02751853,1.107219884,1.138061857,1.174450592,1.21247304,1.250261068,1.28777035
Algeria,DZA,0.716869041,0.729288242,0.691723721,0.696573014,0.714925674,0.803431281,0.810348432,0.83946782,0.698424335,0.677967512,0.792034387,0.604491748,0.627442606,0.663651429,0.557498215,0.532285302,0.572226862,0.580916236,0.552841878,0.543003274,0.586355728,0.569235814,0.5588997,0.623345038,0.751434656,0.858183311,0.957066763,1.067846462,1.321652905,1.042269449,1.183165142,1.428304448,1.44209684,1.407488204,1.382175218,1.034688151,0.966693715,1.014949903,1.03331932,1,0.897242019,0.915573066,0.883279276,0.873294306,0.867689501,0.866951566,0.868247661
Angola,AGO,,,0.532245622,0.532328809,0.532285382,0.633640963,0.576536806,0.633111668,0.647173453,0.752522401,0.857892457,0.741960141,0.513474995,0.335847046,0.22127614,0.250247298,0.290279265,0.317782866,0.257307226,0.238145354,0.342851817,0.322059614,0.396259224,0.448360701,0.534292668,0.729130516,0.926096141,1.012106795,1.235099589,0.972414159,1.105314408,1.425040173,1.503890062,1.529760639,1.555471053,1.228767756,1.097721622,1.327672409,1.174810977,1,0.72569817,0.769931621,0.77508667,0.796926281,0.824320715,0.855787711,0.878292002
Antigua and Barbuda,ATG,0.299905005,0.326372851,0.361960449,0.381238198,0.395498387,0.425704848,0.459449788,0.500733723,0.563482498,0.589035811,0.597863507,0.614445334,0.628834736,0.64038903,0.660904447,0.676947648,0.697735716,0.710584524,0.725311831,0.735884902,0.747355714,0.758836022,0.764272919,0.75686983,0.769329489,0.803128139,0.80655066,0.836457274,0.873086908,0.888798779,0.90270927,0.91193189,0.930247407,0.921054025,0.939205049,0.967573702,0.985746379,0.976316228,0.998064711,1,1.010965896,1.031597318,1.052122089,1.073336245,1.094680308,1.116093458,1.138937794
Argentina,ARG,1.019523471,0.878491833,0.450416398,0.535639213,0.58962059,0.478604222,0.537136368,0.537125282,0.641699984,0.442723465,0.776224983,0.942329934,1.030901191,1.003031633,1.031668933,1.064321649,1.063761492,1.058825872,1.040771132,1.021653393,1.032250477,1.020940694,0.428897618,0.49856368,0.530022118,0.588377984,0.636428783,0.721788923,0.875837923,0.856904477,0.98761946,1.157434635,1.284730916,1.323393662,1.25126199,1.388397303,1.228775393,1.382013557,1.139464123,1,0.970193578,0.98719027,1.001726962,1.024749334,1.049623918,1.072406165,1.096326783
Armenia,ARM,,,,,,,,,,,,,0.032228073,0.289915467,0.213461376,0.392433804,0.463025634,0.45963505,0.499275839,0.471913453,0.462009286,0.467521501,0.456829037,0.473202218,0.545842253,0.655253226,0.754166457,0.95608767,1.132471071,0.97820406,1.024882012,1.07211114,1.047785787,1.061113367,1.069205209,0.941234634,0.938779676,0.954357361,0.98022128,1,0.976355318,0.959746636,0.980123407,1.009106037,1.044484837,1.086237843,1.129688765
Australia,AUS,0.38691279,0.42880064,0.4238043,0.40888614,0.42096694,0.35447529,0.36239292,0.40540344,0.49003137,0.53504737,0.5537174,0.5643124,0.53597924,0.50142189,0.54605389,0.56985856,0.61397046,0.59005004,0.50187821,0.52177922,0.48822187,0.4504881,0.48814595,0.60082446,0.70623544,0.7647014,0.79384516,0.92088979,0.96603792,0.91772223,1.13637402,1.33957662,1.33520693,1.26118668,1.18274007,0.97961135,0.97934624,1.04567623,1.04239483,1,0.9923357,1.139736489,1.160970617,1.188746474,1.211732248,1.234900261,1.260382459
Austria,AUT,0.3988791,0.34592159,0.34018807,0.33419682,0.31499767,0.31369225,0.4375291,0.54123526,0.56279554,0.5406838,0.6480755,0.65436475,0.7189751,0.69802449,0.72902344,0.8406328,0.8090632,0.71063046,0.70370424,0.67613364,0.59244299,0.58668913,0.62440072,0.75826662,0.84782392,0.86962291,0.89460182,0.99690197,1.07058521,1.05306719,1.01026548,1.07989884,1.01847597,1.06904423,1.0913683,0.93313627,0.94738468,0.97384027,1.03674948,1,1.02509276,1.119798303,1.150835893,1.17477453,1.200577913,1.224719659,1.248810321
Azerbaijan,AZE,,,,,,,,,,,,,0.079905583,0.114008883,0.244828197,0.301321206,0.386291425,0.442545428,0.450861354,0.433201486,0.469410176,0.457705719,0.476055453,0.504324038,0.550806953,0.658063355,0.775288677,0.972449877,1.301549194,1.076089357,1.226871706,1.554535505,1.606240759,1.614977416,1.593899205,1.065897539,0.818138812,0.893429652,1.002298482,1,0.92650619,1.060810235,1.062941007,1.074978779,1.09473139,1.119606168,1.148064885
